name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Brendan Gallagher,Brendan,Gallagher_MTL,Gallagher,W,2,2022-11-29,MTL,SJS,-1.5,6,3,3400,1.5,16.5,5.4,1.59,3.4,7.5,17.89
Cole Perfetti,Cole,Perfetti_WPG,Perfetti,W,2,2022-11-29,WPG,COL,1.5,6,2.8,3000,1.5,15.8,5.8,1.93,3,7.15,17.88
Oliver Wahlstrom,Oliver,Wahlstrom_NYI,Wahlstrom,W,2,2022-11-29,NYI,PHI,-1.5,6,3.4,3900,1.5,14.3,5.9,1.51,3.9,6.4,17.710000000000004
Nino Niederreiter,Nino,Niederreiter_NSH,Niederreiter,W,2,2022-11-29,NSH,ANA,-1.5,6.5,3.9,3200,0,14.5,5.5,1.72,3.2,7.25,17.669999999999998
Anders Lee,Anders,Lee_NYI,Lee,W,1,2022-11-29,NYI,PHI,-1.5,6,3.4,5400,0,9.3,6.4,1.19,5.4,4.65,17.640000000000004
Nick Foligno,Nick,Foligno_BOS,Foligno,W,2,2022-11-29,BOS,TBL,-1.5,6.5,3.6,2700,4.3,17,6.2,2.3,2.7,6.35,17.55
Anthony Beauvillier,Anthony,Beauvillier_NYI,Beauvillier,W,2,2022-11-29,NYI,PHI,-1.5,6,3.4,3100,3,16.5,5.6,1.81,3.1,6.75,17.259999999999998
Frank Vatrano,Frank,Vatrano_ANA,Vatrano,W,2,2022-11-29,ANA,NSH,1.5,6.5,2.6,4800,1.3,10.8,6.2,1.29,4.8,4.75,17.04
Stefan Noesen,Stefan,Noesen_CAR,Noesen,W,1,2022-11-29,CAR,PIT,1.5,6,2.9,3300,1.3,13,6,1.82,3.3000000000000003,5.85,16.97
Oliver Bjorkstrand,Oliver,Bjorkstrand_SEA,Bjorkstrand,W,2,2022-11-29,SEA,LAK,1.5,6,2.9,3900,4.3,11.5,7.2,1.85,3.9,3.6,16.55
Logan O'Connor,Logan,O'Connor_COL,O'Connor,W,0,2022-11-29,COL,WPG,-1.5,6,3.2,2800,0,16.4,3.9,1.39,2.8000000000000003,8.2,16.29
Matt Nieto,Matt,Nieto_SJS,Nieto,W,2,2022-11-29,SJS,MTL,1.5,6,3,2700,0,14.3,4.6,1.7,2.7,7.15,16.150000000000002
Zack MacEwen,Zack,MacEwen_PHI,MacEwen,W,2,2022-11-29,PHI,NYI,1.5,6,2.6,2700,1.5,15.6,4.6,1.7,2.7,7.05,16.05
Morgan Barron,Morgan,Barron_WPG,Barron,W,0,2022-11-29,WPG,COL,1.5,6,2.8,3200,0,12.6,4.8,1.5,3.2,6.3,15.8
Noah Gregor,Noah,Gregor_SJS,Gregor,W,0,2022-11-29,SJS,MTL,1.5,6,3,2500,0,12.8,4.7,1.88,2.5,6.4,15.48
Kirby Dach,Kirby,Dach_MTL,Dach,W,1,2022-11-29,MTL,SJS,-1.5,6,3,4000,1.5,9.5,5.9,1.48,4,4,15.38
Pavel Zacha,Pavel,Zacha_BOS,Zacha,W,2,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3000,2.8,13,5.4,1.8,3,5.1,15.3
Colin White,Colin,White_FLA,White,W,2,2022-11-29,FLA,CGY,1.5,6.5,3,3300,1.3,11.5,5.2,1.58,3.3000000000000003,5.1,15.180000000000001
Conor Sheary,Conor,Sheary_WSH,Sheary,W,2,2022-11-29,WSH,VAN,1.5,6.5,3.2,3700,1.5,10,5.6,1.51,3.7,4.25,15.06
Josh Archibald,Josh,Archibald_PIT,Archibald,W,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,1.3,16.5,3.5,1.4,2.5,7.6,15
Ryan Donato,Ryan,Donato_SEA,Donato,W,0,2022-11-29,SEA,LAK,1.5,6,2.9,2500,0,11.5,4.8,1.92,2.5,5.75,14.97
Sonny Milano,Sonny,Milano_WSH,Milano,W,2,2022-11-29,WSH,VAN,1.5,6.5,3.2,3000,1.3,11.5,5.1,1.7,3,5.1,14.899999999999999
Jansen Harkins,Jansen,Harkins_WPG,Harkins,W,0,2022-11-29,WPG,COL,1.5,6,2.8,2500,0,11.5,4.7,1.88,2.5,5.75,14.829999999999998
Josh Bailey,Josh,Bailey_NYI,Bailey,W,2,2022-11-29,NYI,PHI,-1.5,6,3.4,3600,1.5,10,5.4,1.5,3.6,4.25,14.75
Max Jones,Max,Jones_ANA,Jones,W,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,0,13,4,1.6,2.5,6.5,14.6
Dillon Dube,Dillon,Dube_CGY,Dube,W,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,2600,0,11.5,4.4,1.69,2.6,5.75,14.44
Brandon Tanev,Brandon,Tanev_SEA,Tanev,W,0,2022-11-29,SEA,LAK,1.5,6,2.9,2900,0,9.1,5.2,1.79,2.9,4.55,14.439999999999998
Andrew Mangiapane,Andrew,Mangiapane_CGY,Mangiapane,W,2,2022-11-29,CGY,FLA,-1.5,6.5,3.6,3200,0,10.8,4.2,1.31,3.2,5.4,14.110000000000001
Jakob Silfverberg,Jakob,Silfverberg_ANA,Silfverberg,W,2,2022-11-29,ANA,NSH,1.5,6.5,2.6,3100,1.3,11.8,4.3,1.39,3.1,5.25,14.04
Brock McGinn,Brock,McGinn_PIT,McGinn,W,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,0,11.5,4.1,1.64,2.5,5.75,13.99
Pat Maroon,Pat,Maroon_TBL,Maroon,W,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,2500,0,14.5,3,1.2,2.5,7.25,13.95
Garnet Hathaway,Garnet,Hathaway_WSH,Hathaway,W,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2500,1.5,11.8,4.4,1.76,2.5,5.15,13.81
Patrick Brown,Patrick,Brown_PHI,Brown,W,0,2022-11-29,PHI,NYI,1.5,6,2.6,2500,1.5,11.5,4.5,1.8,2.5,5,13.8
Marcus Johansson,Marcus,Johansson_WSH,Johansson,W,1,2022-11-29,WSH,VAN,1.5,6.5,3.2,2800,2.8,11.5,4.8,1.71,2.8000000000000003,4.35,13.66
Andrew Cogliano,Andrew,Cogliano_COL,Cogliano,W,0,2022-11-29,COL,WPG,-1.5,6,3.2,2500,1.3,12.8,3.8,1.52,2.5,5.75,13.57
Corey Perry,Corey,Perry_TBL,Perry,W,2,2022-11-29,TBL,BOS,1.5,6.5,2.9,2600,0,11.5,3.6,1.38,2.6,5.75,13.329999999999998
Tanner Jeannot,Tanner,Jeannot_NSH,Jeannot,W,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2700,1.5,12.5,3.7,1.37,2.7,5.5,13.27
Michael Eyssimont,Michael,Eyssimont_WPG,Eyssimont,W,2,2022-11-29,WPG,COL,1.5,6,2.8,2500,1.5,10,4.6,1.84,2.5,4.25,13.19
Derek Grant,Derek,Grant_ANA,Grant,W,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,0,11.5,3.5,1.4,2.5,5.75,13.15
Curtis Lazar,Curtis,Lazar_VAN,Lazar,W,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2500,0,12.3,3.2,1.28,2.5,6.15,13.13
Juraj Slafkovsky,Juraj,Slafkovsky_MTL,Slafkovsky,W,2,2022-11-29,MTL,SJS,-1.5,6,3,2600,0,8,4.7,1.81,2.6,4,13.110000000000001
Kieffer Bellows,Kieffer,Bellows_PHI,Bellows,W,0,2022-11-29,PHI,NYI,1.5,6,2.6,2500,0,10.5,3.5,1.4,2.5,5.25,12.65
Conor Garland,Conor,Garland_VAN,Garland,W,2,2022-11-29,VAN,WSH,-1.5,6.5,3.3,3100,0,8,4.1,1.32,3.1,4,12.52
Nicolas Deslauriers,Nicolas,Deslauriers_PHI,Deslauriers,W,0,2022-11-29,PHI,NYI,1.5,6,2.6,2500,0,9.3,3.8,1.52,2.5,4.65,12.469999999999999
Michael McCarron,Michael,McCarron_NSH,McCarron,W,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2500,0,8.4,4.1,1.64,2.5,4.2,12.440000000000001
Ross Colton,Ross,Colton_TBL,Colton,W,2,2022-11-29,TBL,BOS,1.5,6.5,2.9,2500,0,10.6,3.2,1.28,2.5,5.3,12.28
Dryden Hunt,Dryden,Hunt_COL,Hunt,W,2,2022-11-29,COL,WPG,-1.5,6,3.2,2500,0,11.5,2.8,1.12,2.5,5.75,12.170000000000002
Joel Armia,Joel,Armia_MTL,Armia,W,0,2022-11-29,MTL,SJS,-1.5,6,3,2500,0,9.9,3.2,1.28,2.5,4.95,11.93
Aleksi Heponiemi,Aleksi,Heponiemi_FLA,Heponiemi,W,0,2022-11-29,FLA,CGY,1.5,6.5,3,2500,0,8,3.7,1.48,2.5,4,11.68
Axel Jonsson-Fjallby,Axel,Jonsson-Fjallby_WPG,Jonsson-Fjallby,W,0,2022-11-29,WPG,COL,1.5,6,2.8,3500,1.3,8,3.7,1.06,3.5,3.35,11.610000000000001
Danton Heinen,Danton,Heinen_PIT,Heinen,W,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,0,9.5,2.8,1.12,2.5,4.75,11.170000000000002
Jordan Martinook,Jordan,Martinook_CAR,Martinook,W,0,2022-11-29,CAR,PIT,1.5,6,2.9,2700,1.5,7.3,4,1.48,2.7,2.9,11.08
Nils Hoglander,Nils,Hoglander_VAN,Hoglander,W,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,3500,0,6.5,3.3,0.94,3.5,3.25,10.99
Cole Smith,Cole,Smith_NSH,Smith,W,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2500,0,8,3.2,1.28,2.5,4,10.979999999999999
Carl Grundstrom,Carl,Grundstrom_LAK,Grundstrom,W,2,2022-11-29,LAK,SEA,-1.5,6,3.1,2600,1.3,7.3,3.8,1.46,2.6,3,10.86
Jack Drury,Jack,Drury_CAR,Drury,W,0,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,7.3,3.3,1.32,2.5,3.65,10.77
Evgenii Dadonov,Evgenii,Dadonov_MTL,Dadonov,W,2,2022-11-29,MTL,SJS,-1.5,6,3,2500,2.8,6.9,4.4,1.76,2.5,2.0500000000000003,10.71
Mark Jankowski,Mark,Jankowski_NSH,Jankowski,W,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2600,0,6.9,2.8,1.08,2.6,3.45,9.930000000000001
Simon Holmstrom,Simon,Holmstrom_NYI,Holmstrom,W,0,2022-11-29,NYI,PHI,-1.5,6,3.4,2900,0,6.3,2.8,0.97,2.9,3.15,9.82
Milan Lucic,Milan,Lucic_CGY,Lucic,W,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,2500,0,6.5,2.9,1.16,2.5,3.25,9.81
A.J. Greer,A.J.,Greer_BOS,Greer,W,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,2500,0,6.5,2.8,1.12,2.5,3.25,9.670000000000002
Cal Clutterbuck,Cal,Clutterbuck_NYI,Clutterbuck,W,0,2022-11-29,NYI,PHI,-1.5,6,3.4,2500,0,6.9,2.6,1.04,2.5,3.45,9.59
Anthony Mantha,Anthony,Mantha_WSH,Mantha,W,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2900,1.5,4.5,3.8,1.31,2.9,1.5,9.51
Patric Hornqvist,Patric,Hornqvist_FLA,Hornqvist,W,2,2022-11-29,FLA,CGY,1.5,6.5,3,2500,1.3,7.1,2.9,1.16,2.5,2.9,9.46
Dakota Joshua,Dakota,Joshua_VAN,Joshua,W,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2500,0,5,2.6,1.04,2.5,2.5,8.64
Trent Frederic,Trent,Frederic_BOS,Frederic,W,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,2500,0,5,2.6,1.04,2.5,2.5,8.64
Derek Stepan,Derek,Stepan_CAR,Stepan,W,0,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,4.5,2.6,1.04,2.5,2.25,8.39
Sam Carrick,Sam,Carrick_ANA,Carrick,W,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,0,4.5,2.4,0.96,2.5,2.25,8.11
Brett Leason,Brett,Leason_ANA,Leason,W,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,0,4.1,2.4,0.96,2.5,2.05,7.909999999999999
Jesper Fast,Jesper,Fast_CAR,Fast,W,2,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,4.3,2.3,0.92,2.5,2.15,7.87
Michael Pezzetta,Michael,Pezzetta_MTL,Pezzetta,W,0,2022-11-29,MTL,SJS,-1.5,6,3,2500,0,3,2.7,1.08,2.5,1.5,7.78
Matt Martin,Matt,Martin_NYI,Martin,W,0,2022-11-29,NYI,PHI,-1.5,6,3.4,2500,0,3,2,0.8,2.5,1.5,6.8
Ryan Lomberg,Ryan,Lomberg_FLA,Lomberg,W,0,2022-11-29,FLA,CGY,1.5,6.5,3,2500,0,2.8,2,0.8,2.5,1.4,6.7
Sampo Ranta,Sampo,Ranta_COL,Ranta,W,0,2022-11-29,COL,WPG,-1.5,6,3.2,2500,1.3,3,2.3,0.92,2.5,0.85,6.57
Oskar Lindblom,Oskar,Lindblom_SJS,Lindblom,W,0,2022-11-29,SJS,MTL,1.5,6,3,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Evgeny Svechnikov,Evgeny,Svechnikov_SJS,Svechnikov,W,0,2022-11-29,SJS,MTL,1.5,6,3,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Aliaksei Protas,Aliaksei,Protas_WSH,Protas,W,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Brett Ritchie,Brett,Ritchie_CGY,Ritchie,W,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Jackson Cates,Jackson,Cates_PHI,Cates,W,0,2022-11-29,PHI,NYI,1.5,6,2.6,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Lias Andersson,Lias,Andersson_LAK,Andersson,W,0,2022-11-29,LAK,SEA,-1.5,6,3.1,2500,0,1.5,1.7,0.68,2.5,0.75,5.63
Cole Koepke,Cole,Koepke_TBL,Koepke,W,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,2500,0,0,1.7,0.68,2.5,0,4.88
Roman Josi,Roman,Josi_NSH,Josi,D,1,2022-11-29,NSH,ANA,-1.5,6.5,3.9,8100,10.5,44.7,17,2.1,8.1,17.1,44.300000000000004
John Carlson,John,Carlson_WSH,Carlson,D,1,2022-11-29,WSH,VAN,1.5,6.5,3.2,7200,1.5,36.4,12.6,1.75,7.2,17.45,39
Charlie McAvoy,Charlie,McAvoy_BOS,McAvoy,D,1,2022-11-29,BOS,TBL,-1.5,6.5,3.6,6200,2.8,35,10.4,1.68,6.2,16.1,34.38
Aaron Ekblad,Aaron,Ekblad_FLA,Ekblad,D,1,2022-11-29,FLA,CGY,1.5,6.5,3,6500,7.1,27.1,13.3,2.05,6.5,10,31.85
Erik Karlsson,Erik,Karlsson_SJS,Karlsson,D,1,2022-11-29,SJS,MTL,1.5,6,3,8700,4.3,18.3,13.9,1.6,8.700000000000001,7,31.200000000000003
Cale Makar,Cale,Makar_COL,Makar,D,1,2022-11-29,COL,WPG,-1.5,6,3.2,7800,2.8,21.6,12.4,1.59,7.8,9.4,31.19
Josh Morrissey,Josh,Morrissey_WPG,Morrissey,D,1,2022-11-29,WPG,COL,1.5,6,2.8,6100,5.8,28.5,11.8,1.93,6.1000000000000005,11.35,31.18
Noah Dobson,Noah,Dobson_NYI,Dobson,D,1,2022-11-29,NYI,PHI,-1.5,6,3.4,6600,3,20.8,10.9,1.65,6.6000000000000005,8.9,28.049999999999997
Mikhail Sergachev,Mikhail,Sergachev_TBL,Sergachev,D,1,2022-11-29,TBL,BOS,1.5,6.5,2.9,6700,5.6,20.8,11.6,1.73,6.7,7.6000000000000005,27.63
Brent Burns,Brent,Burns_CAR,Burns,D,1,2022-11-29,CAR,PIT,1.5,6,2.9,6800,2.6,16.8,11.2,1.65,6.8,7.1000000000000005,26.75
Dmitry Kulikov,Dmitry,Kulikov_ANA,Kulikov,D,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,4100,1.5,27.1,7.2,1.76,4.1,12.8,25.86
Brandon Montour,Brandon,Montour_FLA,Montour,D,1,2022-11-29,FLA,CGY,1.5,6.5,3,7400,4.5,14.3,11.8,1.59,7.4,4.9,25.69
Justin Schultz,Justin,Schultz_SEA,Schultz,D,2,2022-11-29,SEA,LAK,1.5,6,2.9,4200,6.5,27.5,8.7,2.07,4.2,10.5,25.47
Cam Fowler,Cam,Fowler_ANA,Fowler,D,1,2022-11-29,ANA,NSH,1.5,6.5,2.6,4300,4.3,25.5,8.3,1.93,4.3,10.6,25.13
Gustav Forsling,Gustav,Forsling_FLA,Forsling,D,2,2022-11-29,FLA,CGY,1.5,6.5,3,5500,2.8,20.5,9,1.64,5.5,8.85,24.990000000000002
Radko Gudas,Radko,Gudas_FLA,Gudas,D,0,2022-11-29,FLA,CGY,1.5,6.5,3,4000,1.3,27.2,6.3,1.58,4,12.95,24.83
Noah Hanifin,Noah,Hanifin_CGY,Hanifin,D,2,2022-11-29,CGY,FLA,-1.5,6.5,3.6,4800,1.3,18.1,9.2,1.92,4.8,8.4,24.32
David Savard,David,Savard_MTL,Savard,D,0,2022-11-29,MTL,SJS,-1.5,6,3,4300,2.8,25.3,7.1,1.65,4.3,11.25,24.299999999999997
Ryan Pulock,Ryan,Pulock_NYI,Pulock,D,2,2022-11-29,NYI,PHI,-1.5,6,3.4,3900,0,25.8,5.9,1.51,3.9,12.9,24.210000000000004
Kris Letang,Kris,Letang_PIT,Letang,D,1,2022-11-29,PIT,CAR,-1.5,6,3.1,5700,1.5,18.4,8,1.4,5.7,8.45,23.549999999999997
Tony DeAngelo,Tony,DeAngelo_PHI,DeAngelo,D,1,2022-11-29,PHI,NYI,1.5,6,2.6,5900,1.5,17.4,8.2,1.39,5.9,7.949999999999999,23.439999999999998
Rasmus Andersson,Rasmus,Andersson_CGY,Andersson,D,1,2022-11-29,CGY,FLA,-1.5,6.5,3.6,4700,0,19.7,7,1.49,4.7,9.85,23.04
Quinn Hughes,Quinn,Hughes_VAN,Hughes,D,1,2022-11-29,VAN,WSH,-1.5,6.5,3.3,5800,5.8,14.5,10.9,1.88,5.8,4.35,22.929999999999996
Vince Dunn,Vince,Dunn_SEA,Dunn,D,1,2022-11-29,SEA,LAK,1.5,6,2.9,4400,2.6,19.1,8.1,1.84,4.4,8.25,22.59
Travis Sanheim,Travis,Sanheim_PHI,Sanheim,D,2,2022-11-29,PHI,NYI,1.5,6,2.6,3000,1.3,24.9,5.8,1.93,3,11.799999999999999,22.529999999999998
Joel Edmundson,Joel,Edmundson_MTL,Edmundson,D,0,2022-11-29,MTL,SJS,-1.5,6,3,4600,4.1,18.4,8.6,1.87,4.6000000000000005,7.1499999999999995,22.220000000000002
Josh Manson,Josh,Manson_COL,Manson,D,0,2022-11-29,COL,WPG,-1.5,6,3.2,2600,2.8,26.6,5.5,2.12,2.6,11.9,22.12
Ivan Provorov,Ivan,Provorov_PHI,Provorov,D,2,2022-11-29,PHI,NYI,1.5,6,2.6,5000,4.3,17.9,8.1,1.62,5,6.799999999999999,21.52
Matt Roy,Matt,Roy_LAK,Roy,D,0,2022-11-29,LAK,SEA,-1.5,6,3.1,4600,2.6,18.4,7.4,1.61,4.6000000000000005,7.8999999999999995,21.509999999999998
Hampus Lindholm,Hampus,Lindholm_BOS,Lindholm,D,2,2022-11-29,BOS,TBL,-1.5,6.5,3.6,5400,2.6,16.2,7.8,1.44,5.4,6.8,21.44
Ethan Bear,Ethan,Bear_VAN,Bear,D,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,4100,0,17.6,6.7,1.63,4.1,8.8,21.23
Mike Matheson,Mike,Matheson_MTL,Matheson,D,1,2022-11-29,MTL,SJS,-1.5,6,3,4500,0,15.6,7.2,1.6,4.5,7.8,21.1
Adam Larsson,Adam,Larsson_SEA,Larsson,D,0,2022-11-29,SEA,LAK,1.5,6,2.9,4000,5.6,18.4,8.5,2.13,4,6.3999999999999995,21.029999999999998
Chris Tanev,Chris,Tanev_CGY,Tanev,D,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,3600,1.3,16.2,7.8,2.17,3.6,7.449999999999999,21.019999999999996
Ian Cole,Ian,Cole_TBL,Cole,D,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,3900,2.6,15.8,7.1,1.82,3.9,6.6000000000000005,19.42
Nikita Zadorov,Nikita,Zadorov_CGY,Zadorov,D,2,2022-11-29,CGY,FLA,-1.5,6.5,3.6,3700,2.8,18,6.2,1.68,3.7,7.6,19.18
Sean Durzi,Sean,Durzi_LAK,Durzi,D,2,2022-11-29,LAK,SEA,-1.5,6,3.1,5100,0,12.6,6.4,1.25,5.1000000000000005,6.3,19.05
Jeff Petry,Jeff,Petry_PIT,Petry,D,1,2022-11-29,PIT,CAR,-1.5,6,3.1,4400,4.3,16.4,7,1.59,4.4,6.049999999999999,19.04
Erik Gustafsson,Erik,Gustafsson_WSH,Gustafsson,D,2,2022-11-29,WSH,VAN,1.5,6.5,3.2,3500,1.5,14.9,6.7,1.91,3.5,6.7,18.81
Victor Hedman,Victor,Hedman_TBL,Hedman,D,2,2022-11-29,TBL,BOS,1.5,6.5,2.9,6300,2.6,9.7,7.7,1.22,6.3,3.55,18.77
Michael Stone,Michael,Stone_CGY,Stone,D,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,4900,0,10.6,6.9,1.41,4.9,5.3,18.51
Kyle Burroughs,Kyle,Burroughs_VAN,Burroughs,D,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2900,0,19.5,4,1.38,2.9,9.75,18.029999999999998
Luke Schenn,Luke,Schenn_VAN,Schenn,D,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,3500,0,14.1,5.8,1.66,3.5,7.05,18.01
Oliver Ekman-Larsson,Oliver,Ekman-Larsson_VAN,Ekman-Larsson,D,2,2022-11-29,VAN,WSH,-1.5,6.5,3.3,3700,0,11.5,6.5,1.76,3.7,5.75,17.71
Jamie Oleksiak,Jamie,Oleksiak_SEA,Oleksiak,D,0,2022-11-29,SEA,LAK,1.5,6,2.9,3600,1.3,12.6,6.5,1.81,3.6,5.6499999999999995,17.56
Neal Pionk,Neal,Pionk_WPG,Pionk,D,2,2022-11-29,WPG,COL,1.5,6,2.8,5200,1.3,9.9,6.6,1.27,5.2,4.3,17.37
Marcus Pettersson,Marcus,Pettersson_PIT,Pettersson,D,0,2022-11-29,PIT,CAR,-1.5,6,3.1,4200,4.1,11.2,7.4,1.76,4.2,3.55,16.91
Drew Doughty,Drew,Doughty_LAK,Doughty,D,1,2022-11-29,LAK,SEA,-1.5,6,3.1,4500,2.8,11,6.7,1.49,4.5,4.1,16.79
Sean Walker,Sean,Walker_LAK,Walker,D,0,2022-11-29,LAK,SEA,-1.5,6,3.1,2900,0,14.5,4.6,1.59,2.9,7.25,16.34
Nick Jensen,Nick,Jensen_WSH,Jensen,D,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,3400,1.5,9.8,6.7,1.97,3.4,4.15,16.22
Jacob MacDonald,Jacob,MacDonald_COL,MacDonald,D,0,2022-11-29,COL,WPG,-1.5,6,3.2,2600,0,17.9,3.3,1.27,2.6,8.95,16.119999999999997
Arber Xhekaj,Arber,Xhekaj_MTL,Xhekaj,D,2,2022-11-29,MTL,SJS,-1.5,6,3,3200,0,11.5,5.4,1.69,3.2,5.75,16.04
MacKenzie Weegar,MacKenzie,Weegar_CGY,Weegar,D,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,3500,2.8,9.9,6.9,1.97,3.5,3.5500000000000003,15.920000000000002
Adam Pelech,Adam,Pelech_NYI,Pelech,D,0,2022-11-29,NYI,PHI,-1.5,6,3.4,3700,1.3,11.3,5.6,1.51,3.7,5,15.809999999999999
Erik Johnson,Erik,Johnson_COL,Johnson,D,0,2022-11-29,COL,WPG,-1.5,6,3.2,3300,0,9.7,5.8,1.76,3.3000000000000003,4.85,15.709999999999999
Kevin Shattenkirk,Kevin,Shattenkirk_ANA,Shattenkirk,D,2,2022-11-29,ANA,NSH,1.5,6.5,2.6,3400,0,11.4,5,1.47,3.4,5.7,15.57
Matt Benning,Matt,Benning_SJS,Benning,D,2,2022-11-29,SJS,MTL,1.5,6,3,2700,1.5,13.2,5.1,1.89,2.7,5.85,15.540000000000001
Jaccob Slavin,Jaccob,Slavin_CAR,Slavin,D,0,2022-11-29,CAR,PIT,1.5,6,2.9,3800,2.6,11.3,5.8,1.53,3.8000000000000003,4.3500000000000005,15.479999999999999
Devon Toews,Devon,Toews_COL,Toews,D,2,2022-11-29,COL,WPG,-1.5,6,3.2,5600,4.1,7.8,6.8,1.21,5.6000000000000005,1.85,15.46
Dante Fabbro,Dante,Fabbro_NSH,Fabbro,D,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2700,0,16.2,3.4,1.26,2.7,8.1,15.46
Brett Pesce,Brett,Pesce_CAR,Pesce,D,2,2022-11-29,CAR,PIT,1.5,6,2.9,3400,2.8,11.3,6,1.76,3.4,4.25,15.41
Kaiden Guhle,Kaiden,Guhle_MTL,Guhle,D,0,2022-11-29,MTL,SJS,-1.5,6,3,3400,0,11.9,4.5,1.32,3.4,5.95,15.17
Brenden Dillon,Brenden,Dillon_WPG,Dillon,D,0,2022-11-29,WPG,COL,1.5,6,2.8,2800,1.5,13.4,4.7,1.68,2.8000000000000003,5.95,15.129999999999999
Alexander Edler,Alexander,Edler_LAK,Edler,D,0,2022-11-29,LAK,SEA,-1.5,6,3.1,3000,2.6,11.2,5.8,1.93,3,4.3,15.03
Ryan McDonagh,Ryan,McDonagh_NSH,McDonagh,D,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,3400,1.3,11.9,4.7,1.38,3.4,5.3,14.779999999999998
Carson Soucy,Carson,Soucy_SEA,Soucy,D,0,2022-11-29,SEA,LAK,1.5,6,2.9,2700,1.3,14.9,3.8,1.41,2.7,6.8,14.71
Matt Grzelcyk,Matt,Grzelcyk_BOS,Grzelcyk,D,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3800,0,8,5.4,1.42,3.8000000000000003,4,14.620000000000001
Jan Rutta,Jan,Rutta_PIT,Rutta,D,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,2.8,12.8,5,2,2.5,5,14.5
Dylan Samberg,Dylan,Samberg_WPG,Samberg,D,0,2022-11-29,WPG,COL,1.5,6,2.8,2700,0,9.7,4.6,1.7,2.7,4.85,13.849999999999998
Nick Perbix,Nick,Perbix_TBL,Perbix,D,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,3300,0,9.7,4.3,1.3,3.3000000000000003,4.85,13.75
Tyler Myers,Tyler,Myers_VAN,Myers,D,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2800,1.5,9.9,4.9,1.75,2.8000000000000003,4.2,13.65
Mikey Anderson,Mikey,Anderson_LAK,Anderson,D,0,2022-11-29,LAK,SEA,-1.5,6,3.1,3200,1.5,8.4,5.2,1.63,3.2,3.45,13.48
Brandon Carlo,Brandon,Carlo_BOS,Carlo,D,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3100,1.5,8.4,5,1.61,3.1,3.45,13.16
Alexander Romanov,Alexander,Romanov_NYI,Romanov,D,0,2022-11-29,NYI,PHI,-1.5,6,3.4,3400,2.6,9.3,4.9,1.44,3.4,3.3500000000000005,13.09
