name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Mathew Barzal,Mathew,Barzal_NYI,Barzal,C,1,2022-11-29,NYI,PHI,-1.5,6,3.4,5100,0,22.8,8.4,1.65,5.1000000000000005,11.4,26.549999999999997
Bo Horvat,Bo,Horvat_VAN,Horvat,C,1,2022-11-29,VAN,WSH,-1.5,6.5,3.3,8000,1.5,14.3,10.6,1.33,8,6.4,26.33
Sebastian Aho,Sebastian,Aho_CAR,Aho,C,1,2022-11-29,CAR,PIT,1.5,6,2.9,6500,4.5,21,9.9,1.52,6.5,8.25,26.169999999999998
Phillip Danault,Phillip,Danault_LAK,Danault,C,2,2022-11-29,LAK,SEA,-1.5,6,3.1,5200,4.3,19.8,10.9,2.1,5.2,7.75,25.950000000000003
Jean-Gabriel Pageau,Jean-Gabriel,Pageau_NYI,Pageau,C,1,2022-11-29,NYI,PHI,-1.5,6,3.4,3400,2.8,29.5,7,2.06,3.4,13.35,25.81
Evgeni Malkin,Evgeni,Malkin_PIT,Malkin,C,1,2022-11-29,PIT,CAR,-1.5,6,3.1,5900,1.5,19.9,9.1,1.54,5.9,9.2,25.74
Matty Beniers,Matty,Beniers_SEA,Beniers,C,2,2022-11-29,SEA,LAK,1.5,6,2.9,4100,3,24.5,8.7,2.12,4.1,10.75,25.669999999999998
Juuso Parssinen,Juuso,Parssinen_NSH,Parssinen,C,2,2022-11-29,NSH,ANA,-1.5,6.5,3.9,4200,1.5,29.5,5.8,1.38,4.2,14,25.38
Nick Suzuki,Nick,Suzuki_MTL,Suzuki,C,1,2022-11-29,MTL,SJS,-1.5,6,3,6700,2.8,16.5,10.2,1.52,6.7,6.85,25.27
Nicholas Paul,Nicholas,Paul_TBL,Paul,C,2,2022-11-29,TBL,BOS,1.5,6.5,2.9,4400,1.3,22.8,7.4,1.68,4.4,10.75,24.23
Brock Nelson,Brock,Nelson_NYI,Nelson,C,1,2022-11-29,NYI,PHI,-1.5,6,3.4,5600,6.5,19.9,10,1.79,5.6000000000000005,6.699999999999999,24.09
Tomas Hertl,Tomas,Hertl_SJS,Hertl,C,1,2022-11-29,SJS,MTL,1.5,6,3,6000,0,12.8,9.8,1.63,6,6.4,23.830000000000002
Anton Lundell,Anton,Lundell_FLA,Lundell,C,1,2022-11-29,FLA,CGY,1.5,6.5,3,4300,1.5,17.1,8.7,2.02,4.3,7.800000000000001,22.82
Adam Lowry,Adam,Lowry_WPG,Lowry,C,2,2022-11-29,WPG,COL,1.5,6,2.8,3100,1.5,27.1,5.2,1.68,3.1,12.8,22.78
Mark Scheifele,Mark,Scheifele_WPG,Scheifele,C,1,2022-11-29,WPG,COL,1.5,6,2.8,6800,1.3,14.5,7.7,1.13,6.8,6.6,22.229999999999997
Elias Lindholm,Elias,Lindholm_CGY,Lindholm,C,1,2022-11-29,CGY,FLA,-1.5,6.5,3.6,5500,1.5,17.3,7.4,1.35,5.5,7.9,22.150000000000002
Evgeny Kuznetsov,Evgeny,Kuznetsov_WSH,Kuznetsov,C,2,2022-11-29,WSH,VAN,1.5,6.5,3.2,4900,1.5,17,7.6,1.55,4.9,7.75,21.8
Sam Bennett,Sam,Bennett_FLA,Bennett,C,2,2022-11-29,FLA,CGY,1.5,6.5,3,5400,1.3,15.6,7.3,1.35,5.4,7.1499999999999995,21.200000000000003
Dylan Strome,Dylan,Strome_WSH,Strome,C,1,2022-11-29,WSH,VAN,1.5,6.5,3.2,4000,1.5,16.8,7.2,1.8,4,7.65,20.650000000000002
Mikael Backlund,Mikael,Backlund_CGY,Backlund,C,2,2022-11-29,CGY,FLA,-1.5,6.5,3.6,4700,1.3,17,6.4,1.36,4.7,7.85,20.310000000000002
Sean Monahan,Sean,Monahan_MTL,Monahan,C,1,2022-11-29,MTL,SJS,-1.5,6,3,3800,9.5,17.1,9.9,2.61,3.8000000000000003,3.8000000000000007,20.11
Nazem Kadri,Nazem,Kadri_CGY,Kadri,C,1,2022-11-29,CGY,FLA,-1.5,6.5,3.6,6200,0,10.5,7.1,1.15,6.2,5.25,19.699999999999996
Nick Bonino,Nick,Bonino_SJS,Bonino,C,2,2022-11-29,SJS,MTL,1.5,6,3,2600,1.3,21.4,4.4,1.69,2.6,10.049999999999999,18.74
Lukas Sedlak,Lukas,Sedlak_PHI,Sedlak,C,0,2022-11-29,PHI,NYI,1.5,6,2.6,3500,0,17.8,4.8,1.37,3.5,8.9,18.57
Teddy Blueger,Teddy,Blueger_PIT,Blueger,C,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,0,22.3,3.5,1.4,2.5,11.15,18.549999999999997
Christian Dvorak,Christian,Dvorak_MTL,Dvorak,C,0,2022-11-29,MTL,SJS,-1.5,6,3,3900,2.6,14.1,6.5,1.67,3.9,5.75,17.82
Jeff Carter,Jeff,Carter_PIT,Carter,C,2,2022-11-29,PIT,CAR,-1.5,6,3.1,3500,0,14.3,5.5,1.57,3.5,7.15,17.72
Mason McTavish,Mason,McTavish_ANA,McTavish,C,1,2022-11-29,ANA,NSH,1.5,6.5,2.6,3700,4.3,13,7.5,2.03,3.7,4.35,17.580000000000002
Sheldon Dries,Sheldon,Dries_VAN,Dries,C,2,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2700,1.5,18,4.5,1.67,2.7,8.25,17.119999999999997
Eetu Luostarinen,Eetu,Luostarinen_FLA,Luostarinen,C,0,2022-11-29,FLA,CGY,1.5,6.5,3,3600,2.8,11.5,7,1.94,3.6,4.35,16.89
J.T. Compher,J.T.,Compher_COL,Compher,C,1,2022-11-29,COL,WPG,-1.5,6,3.2,3000,2.8,14.1,6,2,3,5.65,16.65
Alex Wennberg,Alex,Wennberg_SEA,Wennberg,C,2,2022-11-29,SEA,LAK,1.5,6,2.9,3600,1.3,12.6,5.1,1.42,3.6,5.6499999999999995,15.77
Ryan Johansen,Ryan,Johansen_NSH,Johansen,C,1,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2900,2.6,14.3,4.9,1.69,2.9,5.8500000000000005,15.34
Trevor Lewis,Trevor,Lewis_CGY,Lewis,C,0,2022-11-29,CGY,FLA,-1.5,6.5,3.6,2500,0,14.5,3.9,1.56,2.5,7.25,15.21
Jesperi Kotkaniemi,Jesperi,Kotkaniemi_CAR,Kotkaniemi,C,2,2022-11-29,CAR,PIT,1.5,6,2.9,2800,1.3,14.3,4.1,1.46,2.8000000000000003,6.5,14.86
